candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate_mean,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate_mean
history_ordering,3,9,1.0,0.0,0,3,3,3,0.7164666666666649,-9.231333333333332,5.257479529204085,20.666666666666476,15.506271132817073,28.666666666666668,-28.666666666666668,-6649.0,253.0555869779623,252.0555869779623,35460.0,1.0,1.0,1.0
history_ordering_c1,3,9,1.0,0.0,0,3,3,3,0.6083111111111167,-6.749777777777775,3.958638266617186,6.666666666666363,8.950481054730911,28.666666666666668,-28.666666666666668,-6649.0,253.0555869779623,252.0555869779623,35460.0,1.0,1.0,0.0
stem_first_reference,3,9,1.0,0.0,0,3,3,2,0.2932333333333368,-4.93122222222222,3.8560431696138884,20.222222222222133,36.51534431400564,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,1.0
adaptive_c1_stem_reference,3,9,1.0,0.0,0,3,3,2,0.23287777777777782,-1.4721111111111107,1.8040912250072447,-8.33333333333322,23.835081520966206,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,0.0
