candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std,adaptive_enabled_rate_mean,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate_mean
adaptive_c1,3,9,1.0,0.0,0,3,3,2,0.22313333333333554,-2.4424444444444426,2.3126414030842004,2.1111111111108207,2.0367003088697793,1.0,1.0,0.0
adaptive_default,3,9,1.0,0.0,0,1,3,1,0.1251777777777754,-6.49622222222222,4.258069285138164,52.44444444444404,29.107718207706,1.0,1.0,1.0
adaptive_c2,3,9,1.0,0.0,0,1,3,1,0.09868888888888705,-6.097999999999999,3.9767731055886673,51.11111111111071,28.018512398715966,1.0,1.0,1.0
adaptive_c1_learning,3,9,1.0,0.0,0,1,3,1,0.020911111111114877,-0.5091111111111116,0.7766323549883922,2.9999999999998104,3.7564758898617585,1.0,1.0,0.0
adaptive_c2_learning,3,9,1.0,0.0,0,1,2,1,-0.3294444444444409,-2.094444444444443,5.00652784243102,53.888888888888495,30.799230389614454,1.0,1.0,1.0
