candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,run_id,run_dir
adaptive_default,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,28.0,0.47114252061248524,-2.2329999999999988,-16.439667231097687,-0.056699999999999307,False,5971.0,5943.0,11.35,13.582999999999998,38.980999999999995,39.037699999999994,True,1,True,1.0,20260615-175555_candidate_adaptive_default_trial1_pcitc_ba75a9a8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175555_candidate_adaptive_default_trial1_pcitc_ba75a9a8
adaptive_default,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,31.0,0.5216220763923943,-2.2499999999999982,-16.56482367665463,-0.08500000000000085,False,5974.0,5943.0,11.333,13.582999999999998,38.95269999999999,39.037699999999994,True,1,True,1.0,20260615-175602_candidate_adaptive_default_trial2_pcitc_8bbcec59,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175602_candidate_adaptive_default_trial2_pcitc_8bbcec59
adaptive_default,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,31.0,0.5216220763923943,-1.9829999999999988,-14.599131267024951,-0.11169999999999902,False,5974.0,5943.0,11.6,13.582999999999998,38.925999999999995,39.037699999999994,True,1,True,1.0,20260615-175609_candidate_adaptive_default_trial3_pcitc_c6899938,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175609_candidate_adaptive_default_trial3_pcitc_c6899938
adaptive_default,destc.bench,1,True,False,False,100.0,100.0,0.0,42.666666666666686,12.284069097888683,-9.94933333333333,-43.41590423133426,0.5682666666666591,True,390.0,347.3333333333333,12.967,22.91633333333333,94.8033,94.23503333333333,True,1,True,1.0,20260615-175616_candidate_adaptive_default_trial1_destc_3891ad70,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175616_candidate_adaptive_default_trial1_destc_3891ad70
adaptive_default,destc.bench,2,True,False,False,100.0,100.0,0.0,40.666666666666686,11.70825335892515,-11.133333333333331,-48.58252483672489,0.7066666666666777,True,388.0,347.3333333333333,11.783,22.91633333333333,94.94170000000001,94.23503333333333,True,1,True,1.0,20260615-175624_candidate_adaptive_default_trial2_destc_73606dd8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175624_candidate_adaptive_default_trial2_destc_73606dd8
adaptive_default,destc.bench,3,True,False,False,100.0,100.0,0.0,42.666666666666686,12.284069097888683,-10.91633333333333,-47.63560197239232,0.6649666666666576,True,390.0,347.3333333333333,12.0,22.91633333333333,94.89999999999999,94.23503333333333,True,1,True,1.0,20260615-175631_candidate_adaptive_default_trial3_destc_3332a1c9,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175631_candidate_adaptive_default_trial3_destc_3332a1c9
adaptive_default,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,84.66666666666606,0.7895554864780795,-6.178333333333331,-16.51460341785911,-0.228833333333327,False,10808.0,10723.333333333334,31.233,37.41133333333333,-16.6413,-16.412466666666674,True,1,True,1.0,20260615-175638_candidate_adaptive_default_trial1_DMAtc_0fc937d1,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175638_candidate_adaptive_default_trial1_DMAtc_0fc937d1
adaptive_default,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,85.66666666666606,0.7988809449797891,-7.111333333333331,-19.00850009800951,-0.14553333333333285,False,10809.0,10723.333333333334,30.3,37.41133333333333,-16.558000000000007,-16.412466666666674,True,1,True,1.0,20260615-175657_candidate_adaptive_default_trial2_DMAtc_1c450685,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175657_candidate_adaptive_default_trial2_DMAtc_1c450685
adaptive_default,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,85.66666666666606,0.7988809449797891,-6.711333333333332,-17.93930537983142,-0.185533333333332,False,10809.0,10723.333333333334,30.7,37.41133333333333,-16.598000000000006,-16.412466666666674,True,1,True,1.0,20260615-175715_candidate_adaptive_default_trial3_DMAtc_0f7c3262,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175715_candidate_adaptive_default_trial3_DMAtc_0f7c3262
adaptive_c1,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,0.0,0.0,-0.8659999999999979,-6.375616579547949,0.08659999999999712,True,5943.0,5943.0,12.717,13.582999999999998,39.12429999999999,39.037699999999994,True,1,False,1.0,20260615-175734_candidate_adaptive_c1_trial1_pcitc_29675742,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175734_candidate_adaptive_c1_trial1_pcitc_29675742
