candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,run_id,run_dir
phase2_b5_learning,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,2.0,0.033653037186606095,0.48400000000000176,3.5632776264448345,-0.06840000000000401,False,5945.0,5943.0,14.067,13.582999999999998,38.96929999999999,39.037699999999994,20260613-220713_candidate_phase2_b5_learning_trial1_pcitc_6b59905f,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220713_candidate_phase2_b5_learning_trial1_pcitc_6b59905f
phase2_b5_learning,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,1.0,0.016826518593303048,0.43400000000000105,3.195170433630281,-0.05339999999999634,False,5944.0,5943.0,14.017,13.582999999999998,38.9843,39.037699999999994,20260613-220722_candidate_phase2_b5_learning_trial2_pcitc_cc96d23a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220722_candidate_phase2_b5_learning_trial2_pcitc_cc96d23a
phase2_b5_learning,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,1.0,0.016826518593303048,0.20000000000000107,1.4724287712581985,-0.030000000000001137,False,5944.0,5943.0,13.783,13.582999999999998,39.00769999999999,39.037699999999994,20260613-220730_candidate_phase2_b5_learning_trial3_pcitc_e50848a5,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220730_candidate_phase2_b5_learning_trial3_pcitc_e50848a5
phase2_b5_learning,destc.bench,1,True,False,False,100.0,100.0,0.0,2.6666666666666856,0.7677543186180478,3.38366666666667,14.765305677173505,-0.3650333333333293,False,350.0,347.3333333333333,26.3,22.91633333333333,93.87,94.23503333333333,20260613-220739_candidate_phase2_b5_learning_trial1_destc_dfe91d95,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220739_candidate_phase2_b5_learning_trial1_destc_dfe91d95
phase2_b5_learning,destc.bench,2,True,False,False,100.0,100.0,0.0,-0.3333333333333144,-0.09596928982724984,3.250666666666671,14.184933599034188,-0.3217333333333272,False,347.0,347.3333333333333,26.167,22.91633333333333,93.9133,94.23503333333333,20260613-220754_candidate_phase2_b5_learning_trial2_destc_55f570d2,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220754_candidate_phase2_b5_learning_trial2_destc_55f570d2
phase2_b5_learning,destc.bench,3,True,False,False,100.0,100.0,0.0,1.6666666666666856,0.4798464491362819,2.666666666666668,11.636532895023933,-0.28333333333333144,False,349.0,347.3333333333333,25.583,22.91633333333333,93.9517,94.23503333333333,20260613-220810_candidate_phase2_b5_learning_trial3_destc_29dfba42,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220810_candidate_phase2_b5_learning_trial3_destc_29dfba42
phase2_b5_learning,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,-0.33333333333393966,-0.00310848616724221,5.038666666666671,13.468289466650049,-0.5005333333333333,False,10723.0,10723.333333333334,42.45,37.41133333333333,-16.913000000000007,-16.412466666666674,20260613-220826_candidate_phase2_b5_learning_trial1_DMAtc_09dd99ed,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220826_candidate_phase2_b5_learning_trial1_DMAtc_09dd99ed
phase2_b5_learning,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,1.6666666666660603,0.015542430836177124,4.43866666666667,11.864497389382905,-0.4605333333333306,False,10725.0,10723.333333333334,41.85,37.41133333333333,-16.873000000000005,-16.412466666666674,20260613-220851_candidate_phase2_b5_learning_trial2_DMAtc_5278886e,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220851_candidate_phase2_b5_learning_trial2_DMAtc_5278886e
phase2_b5_learning,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,0.6666666666660603,0.006216972334467457,6.405666666666669,17.12226241602367,-0.6472333333333395,False,10724.0,10723.333333333334,43.817,37.41133333333333,-17.059700000000014,-16.412466666666674,20260613-220916_candidate_phase2_b5_learning_trial3_DMAtc_0f37f619,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220916_candidate_phase2_b5_learning_trial3_DMAtc_0f37f619
compaction_c1_learning,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,0.0,0.0,0.45000000000000107,3.3129647353309366,-0.045000000000001705,False,5943.0,5943.0,14.033,13.582999999999998,38.99269999999999,39.037699999999994,20260613-220943_candidate_compaction_c1_learning_trial1_pcitc_c451fdca,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220943_candidate_compaction_c1_learning_trial1_pcitc_c451fdca
compaction_c1_learning,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,2.0,0.033653037186606095,-0.0329999999999977,-0.24295074725758448,-0.01670000000000016,False,5945.0,5943.0,13.55,13.582999999999998,39.020999999999994,39.037699999999994,20260613-220951_candidate_compaction_c1_learning_trial2_pcitc_1f22a245,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220951_candidate_compaction_c1_learning_trial2_pcitc_1f22a245
compaction_c1_learning,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,1.0,0.016826518593303048,-0.31599999999999895,-2.3264374585879333,0.021599999999999397,True,5944.0,5943.0,13.267,13.582999999999998,39.05929999999999,39.037699999999994,20260613-221000_candidate_compaction_c1_learning_trial3_pcitc_cd695572,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221000_candidate_compaction_c1_learning_trial3_pcitc_cd695572
compaction_c1_learning,destc.bench,1,True,False,False,100.0,100.0,0.0,9.666666666666686,2.783109404990409,-1.9663333333333313,-8.58048844346826,0.09996666666667409,True,357.0,347.3333333333333,20.95,22.91633333333333,94.33500000000001,94.23503333333333,20260613-221008_candidate_compaction_c1_learning_trial1_destc_14363210,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221008_candidate_compaction_c1_learning_trial1_destc_14363210
compaction_c1_learning,destc.bench,2,True,False,False,100.0,100.0,0.0,-0.3333333333333144,-0.09596928982724984,2.933666666666671,12.801640751138219,-0.2900333333333265,False,347.0,347.3333333333333,25.85,22.91633333333333,93.94500000000001,94.23503333333333,20260613-221020_candidate_compaction_c1_learning_trial2_destc_022cea6d,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221020_candidate_compaction_c1_learning_trial2_destc_022cea6d
compaction_c1_learning,destc.bench,3,True,False,False,100.0,100.0,0.0,11.666666666666686,3.3589251439539405,-3.899333333333331,-17.01552022574873,0.27326666666665744,True,359.0,347.3333333333333,19.017,22.91633333333333,94.50829999999999,94.23503333333333,20260613-221036_candidate_compaction_c1_learning_trial3_destc_8ad859f6,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221036_candidate_compaction_c1_learning_trial3_destc_8ad859f6
compaction_c1_learning,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,-1.3333333333339397,-0.012433944668951877,-0.32833333333333314,-0.877630664504517,0.046166666666671574,True,10722.0,10723.333333333334,37.083,37.41133333333333,-16.366300000000003,-16.412466666666674,20260613-221047_candidate_compaction_c1_learning_trial1_DMAtc_77fc6b41,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221047_candidate_compaction_c1_learning_trial1_DMAtc_77fc6b41
compaction_c1_learning,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,2.6666666666660603,0.024867889337886792,-1.8783333333333303,-5.020760197444616,0.16116666666666646,True,10726.0,10723.333333333334,35.533,37.41133333333333,-16.251300000000008,-16.412466666666674,20260613-221110_candidate_compaction_c1_learning_trial2_DMAtc_57dd9320,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221110_candidate_compaction_c1_learning_trial2_DMAtc_57dd9320
