candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate_mean,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate_mean
stem_first,3,9,1.0,0.0,0,3,3,2,0.19732222222221907,-3.794333333333333,2.1975126342703404,18.44444444444474,37.35911807984419,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,1.0
easy_first,3,9,1.0,0.0,0,2,3,2,-0.13277777777778965,-3.299999999999999,3.0373670798534995,46.44444444444474,74.16223457418982,-1.3333333333333333,0.0,31.666666666666668,206.2751925080637,205.2751925080637,35460.0,1.0,1.0,1.0
ordering_default,3,9,1.0,0.0,0,1,3,1,-0.1675888888888911,-3.524111111111111,2.1889742481946324,52.0,32.064171767116456,0.0,0.0,0.0,211.81899118464148,210.81899118464148,35460.0,1.0,1.0,1.0
adaptive_c1_stem_first,3,9,1.0,0.0,0,2,1,2,0.11677777777777483,0.1111111111111119,0.43670347597188497,-12.555555555555467,21.229783411606224,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,0.0
adaptive_c1_ordering_default,3,9,1.0,0.0,0,0,1,0,-0.05037777777778155,0.3371111111111122,0.5241586203233349,1.6666666666666667,3.7564758898615214,0.0,0.0,0.0,211.81899118464148,210.81899118464148,35460.0,1.0,1.0,0.0
adaptive_c1_easy_first,3,9,1.0,0.0,0,1,0,1,-0.17796666666666758,1.0185555555555552,0.5689233822008144,7.7777777777777715,64.26882200166331,-1.3333333333333333,0.0,31.666666666666668,206.2751925080637,205.2751925080637,35460.0,1.0,1.0,0.0
