candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std
compaction_c1_learning,3,9,1.0,0.0,0,2,2,1,0.03906666666667036,-0.6684444444444425,0.6095063880198754,2.7777777777773736,3.6717136981911382
reverse_phase2_b10,3,9,1.0,0.0,0,1,2,1,-0.9466777777777816,-3.3776666666666624,6.852040701701779,128.44444444444426,91.180122915111
phase1_b20_learning,3,9,1.0,0.0,0,0,0,0,-0.263899999999996,2.539000000000001,3.121691261693462,0.9999999999996021,1.6666666666672825
phase2_b5_learning,3,9,1.0,0.0,0,0,0,0,-0.3033555555555516,2.922444444444448,2.4656508343715364,1.1111111111108205,0.384900179460024
phase2_b20_learning_seed1,3,9,1.0,0.0,0,0,0,0,-0.5466888888888839,5.455777777777783,7.046031896144205,0.11111111111091532,0.5091750772175905
