candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,aborted_delta,redundant_delta,backtracking_delta,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_aborted_faults,baseline_aborted_faults,candidate_redundant_faults,baseline_redundant_faults,candidate_backtrackings,baseline_backtrackings,candidate_score,baseline_score,fault_ordering_mode,adaptive_phase2_enabled,adaptive_phase2_profile_faults,adaptive_phase2_attempted_faults,adaptive_phase2_skipped_faults,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,run_id,run_dir
history_adaptive_phase2,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,27.33333333333303,0.4597958954805376,-2.4556666666666676,-19.176406278470477,3.0,-3.0,-90.0,-0.02776666666666472,False,5972.0,5944.666666666667,10.35,12.805666666666667,4.0,1.0,128.0,131.0,44.0,134.0,39.071,39.09876666666666,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160316_candidate_history_adaptive_phase2_trial1_pcitc_a214c188
history_adaptive_phase2,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,26.33333333333303,0.4429740944263715,-2.105666666666668,-16.443241273394598,3.0,-3.0,-90.0,-0.0527666666666704,False,5971.0,5944.666666666667,10.7,12.805666666666667,4.0,1.0,128.0,131.0,44.0,134.0,39.04599999999999,39.09876666666666,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160323_candidate_history_adaptive_phase2_trial2_pcitc_817b0184
history_adaptive_phase2,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,25.33333333333303,0.4261522933722053,-2.4386666666666663,-19.043652549652492,3.0,-3.0,-90.0,-0.009466666666675394,False,5970.0,5944.666666666667,10.367,12.805666666666667,4.0,1.0,128.0,131.0,44.0,134.0,39.08929999999999,39.09876666666666,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,True,1.0,20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160329_candidate_history_adaptive_phase2_trial3_pcitc_4e00954c
history_adaptive_phase2,destc.bench,1,True,False,False,100.0,100.0,0.0,10.333333333333314,2.938388625592412,-6.316333333333333,-35.418691588785045,0.0,0.0,0.0,0.5282999999999873,True,362.0,351.6666666666667,11.517,17.833333333333332,0.0,0.0,0.0,0.0,1.0,1.0,95.22829999999999,94.7,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,True,1.0,20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160336_candidate_history_adaptive_phase2_trial1_destc_965fff13
history_adaptive_phase2,destc.bench,2,True,False,False,100.0,100.0,0.0,9.333333333333314,2.654028436018952,-5.633333333333333,-31.588785046728972,0.0,0.0,0.0,0.46999999999999886,True,361.0,351.6666666666667,12.2,17.833333333333332,0.0,0.0,0.0,0.0,1.0,1.0,95.17,94.7,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,True,1.0,20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160343_candidate_history_adaptive_phase2_trial2_destc_c3cb83e7
history_adaptive_phase2,destc.bench,3,True,False,False,100.0,100.0,0.0,12.333333333333314,3.507109004739331,-5.966333333333331,-33.45607476635513,0.0,0.0,0.0,0.4732999999999947,True,364.0,351.6666666666667,11.867,17.833333333333332,0.0,0.0,0.0,0.0,1.0,1.0,95.1733,94.7,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,True,1.0,20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160350_candidate_history_adaptive_phase2_trial3_destc_286a128a
history_adaptive_phase2,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,36.33333333333394,0.3388144602281615,-8.511333333333333,-23.679207663702208,60.0,-60.0,-8005.0,0.4877999999999947,True,10760.0,10723.666666666666,27.433,35.94433333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.78130000000001,-16.269100000000005,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160357_candidate_history_adaptive_phase2_trial1_DMAtc_5c7e6013
history_adaptive_phase2,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,33.33333333333394,0.31083895433776326,-8.377333333333333,-23.3064089842627,60.0,-60.0,-8005.0,0.5043999999999951,True,10757.0,10723.666666666666,27.567,35.94433333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.76470000000001,-16.269100000000005,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160414_candidate_history_adaptive_phase2_trial2_DMAtc_a68ef2dc
history_adaptive_phase2,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,30.33333333333394,0.2828634484473651,-8.861333333333334,-24.652935557760614,60.0,-60.0,-8005.0,0.5827999999999971,True,10754.0,10723.666666666666,27.083,35.94433333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.686300000000008,-16.269100000000005,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,True,1.0,20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160431_candidate_history_adaptive_phase2_trial3_DMAtc_6e0b7e9c
history_adaptive_phase2_c1,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,24.33333333333303,0.40933049231803903,-2.055666666666667,-16.052789129812325,3.0,-3.0,-90.0,-0.037766666666669835,False,5969.0,5944.666666666667,10.75,12.805666666666667,4.0,1.0,128.0,131.0,44.0,134.0,39.06099999999999,39.09876666666666,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,False,1.0,20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160447_candidate_history_adaptive_phase2_c1_trial1_pcitc_b9d63310
