candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate_mean,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate_mean
history_ordering,3,9,1.0,0.0,0,3,3,3,0.49333333333332935,-6.788888888888889,4.742914602428125,18.555555555555657,16.004628960027866,28.666666666666668,-28.666666666666668,-6649.0,253.0555869779623,252.0555869779623,35460.0,1.0,1.0,1.0
history_ordering_c1,3,9,1.0,0.0,0,3,3,3,0.3851777777777811,-4.307333333333333,4.0804949590841435,4.555555555555543,10.07931508549032,28.666666666666668,-28.666666666666668,-6649.0,253.0555869779623,252.0555869779623,35460.0,1.0,1.0,0.0
stem_first_reference,3,9,1.0,0.0,0,2,3,1,0.07010000000000123,-2.488777777777777,1.5700043288451755,18.111111111111313,35.957279178574865,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,1.0
adaptive_c1_stem_reference,3,9,1.0,0.0,0,1,0,1,0.00974444444444226,0.970333333333332,0.7580715298996823,-10.44444444444404,22.57415762753054,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,0.0
