candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate_mean,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate_mean
history_ordering,3,9,1.0,0.0,0,3,3,3,0.46611111111111053,-7.17222222222222,4.725501999592014,25.111111111110898,26.272785525316333,0.0,0.0,-5822.666666666667,260.04470238430775,259.04470238430775,35460.0,1.0,1.0,1.0
history_ordering_c1,3,9,1.0,0.0,0,3,3,3,0.29703333333333265,-4.114777777777776,3.364601253134253,11.444444444444647,21.106432230045815,0.0,0.0,-5822.666666666667,260.04470238430775,259.04470238430775,35460.0,1.0,1.0,0.0
stem_first_reference,3,9,1.0,0.0,0,3,3,3,0.2028888888888858,-3.616666666666666,2.1685459285992637,16.11111111111141,33.632545965897094,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,1.0
adaptive_c1_stem_reference,3,9,1.0,0.0,0,2,1,2,0.10216666666666303,0.2683333333333338,0.4452418818275453,-12.666666666666268,20.86730563451947,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,0.0
