candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate_mean,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate_mean
history_ordering,3,9,1.0,0.0,0,3,3,3,0.6892444444444461,-9.614666666666663,5.42326228185377,27.222222222221717,25.034050884818374,0.0,0.0,-5822.666666666667,260.04470238430775,259.04470238430775,35460.0,1.0,1.0,1.0
history_ordering_c1,3,9,1.0,0.0,0,3,3,3,0.5201666666666682,-6.55722222222222,3.4786210763163883,13.555555555555467,19.46316559079785,0.0,0.0,-5822.666666666667,260.04470238430775,259.04470238430775,35460.0,1.0,1.0,0.0
stem_first_reference,3,9,1.0,0.0,0,3,3,3,0.42602222222222136,-6.059111111111108,4.364172498033572,18.22222222222223,34.18305839859099,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,1.0
adaptive_c1_stem_reference,3,9,1.0,0.0,0,3,3,3,0.3252999999999986,-2.174111111111109,1.8945380654612036,-10.555555555555449,22.041207199579798,-1.6666666666666667,0.0,55.666666666666664,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,0.0
