candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
adaptive_c1_stem_reference,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10714.333333333334,2.0816659994661326,10723.333333333334,-9.0,-0.083929126515387,36.183,0.8674675786448756,37.41133333333333,-1.2283333333333317,-3.283318780405221,-5.0,0.0,201.0,-16.192633333333333,0.07005949852327771,-16.412466666666674,0.21983333333334087,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_stem_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,358.0,4.358898943540674,347.3333333333333,10.666666666666686,3.0710172744721747,18.561,1.523913711467943,22.91633333333333,-4.355333333333331,-19.00536735079782,0.0,0.0,-1.0,94.56389999999999,0.12769937353018887,94.23503333333333,0.32886666666665576,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_stem_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5909.666666666667,2.0816659994661326,5943.0,-33.33333333333303,-0.5608839531100964,12.644333333333334,0.5268636762326032,13.582999999999998,-0.9386666666666645,-6.9105990331050915,0.0,0.0,-33.0,39.46489999999999,0.036585789591040946,39.037699999999994,0.42719999999999914,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10778.666666666666,3.5118845842842465,10723.333333333334,55.33333333333212,0.516008703761257,23.86666666666667,0.06650062656346385,37.41133333333333,-13.54466666666666,-36.20471514870715,0.0,0.0,-17396.0,-15.61133333333334,0.04175192610327839,-16.412466666666674,0.8011333333333344,6.717012145009588,5.717012145009588,14685.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,366.3333333333333,3.0550504633038935,347.3333333333333,19.0,5.470249520153551,11.044333333333334,0.219877996473802,22.91633333333333,-11.871999999999996,-51.80584444864652,0.0,0.0,0.0,95.23223333333334,0.04588532808353507,94.23503333333333,0.9972000000000065,760.8634020618557,759.8634020618557,74190.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5950.333333333333,1.1547005383792515,5943.0,7.33333333333303,0.12339446968421723,10.155666666666667,0.034428670223133694,13.582999999999998,-3.4273333333333316,-25.23252104346118,0.0,0.0,-72.0,39.30709999999999,0.01491710427663517,39.037699999999994,0.2693999999999974,12.553692946058092,11.553692946058092,17505.0,1.0,1.0,1.0,1.0,True,True,True
history_ordering_c1,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10759.333333333334,1.1547005383792515,10723.333333333334,36.0,0.335716506061548,27.95566666666667,1.461504818101308,37.41133333333333,-9.455666666666662,-25.274872142131606,0.0,0.0,-17396.0,-15.826900000000009,0.1371299748413842,-16.412466666666674,0.585566666666665,6.717012145009588,5.717012145009588,14685.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering_c1,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,348.6666666666667,2.886751345948129,347.3333333333333,1.3333333333333712,0.38387715930903205,15.4,0.5262024325295347,22.91633333333333,-7.51633333333333,-32.79902253123681,0.0,0.0,0.0,94.97333333333334,0.024540239064305882,94.23503333333333,0.7383000000000095,760.8634020618557,759.8634020618557,74190.0,1.0,1.0,0.0,1.0,True,True,True
history_ordering_c1,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5946.333333333333,1.5275252316519468,5943.0,3.33333333333303,0.05608839531100505,10.883333333333335,0.2947411293547829,13.582999999999998,-2.6996666666666638,-19.875334364033453,0.0,0.0,-72.0,39.274333333333324,0.01589727439950832,39.037699999999994,0.23663333333333014,12.553692946058092,11.553692946058092,17505.0,1.0,1.0,0.0,1.0,True,True,True
stem_first_reference,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10757.333333333334,0.5773502691896257,10723.333333333334,34.0,0.31706558905812865,32.11666666666667,0.18754288398479077,37.41133333333333,-5.294666666666664,-14.152574086284009,-5.0,0.0,201.0,-16.216000000000005,0.024523254270176223,-16.412466666666674,0.19646666666666945,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,1.0,1.0,True,True,True
stem_first_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,389.0,2.6457513110645907,347.3333333333333,41.666666666666686,11.996161228406915,12.161333333333333,0.2800827258745772,22.91633333333333,-10.754999999999997,-46.93159173224337,0.0,0.0,-1.0,94.89386666666667,0.03851575435238331,94.23503333333333,0.6588333333333338,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,1.0,1.0,True,True,True
stem_first_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5922.0,1.0,5943.0,-21.0,-0.35335689045936397,11.455333333333334,0.04792007234273905,13.582999999999998,-2.1276666666666646,-15.664188078235036,0.0,0.0,-33.0,39.460466666666655,0.00632165590121361,39.037699999999994,0.42276666666666074,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,1.0,1.0,True,True,True
