candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,fault_ordering_mode,fault_history_profile,fault_trace_attempts,generated_patterns_traced,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir,fault_trace_path,pattern_trace_path
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-112237_candidate_history_ordering_trial1_pcitc_002e2d48,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5947,6027,5947,75768,131,1,62,10.133,history,pcitc_fault_profile.json,6159,6027,12.54952712792434,11.54952712792434,17505,True,1,True,1.0,39.342699999999994,39.342699999999994,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112237_candidate_history_ordering_trial1_pcitc_002e2d48,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112237_candidate_history_ordering_trial1_pcitc_002e2d48/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112237_candidate_history_ordering_trial1_pcitc_002e2d48/pcitc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-112243_candidate_history_ordering_trial1_destc_c9f1c470,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,369,398,369,295215,0,0,1,11.6,history,destc_fault_profile.json,398,398,741.7462311557789,740.7462311557789,74190,True,1,True,1.0,95.15,95.15,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112243_candidate_history_ordering_trial1_destc_c9f1c470,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112243_candidate_history_ordering_trial1_destc_c9f1c470/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112243_candidate_history_ordering_trial1_destc_c9f1c470/destc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-112250_candidate_history_ordering_trial1_DMAtc_a2f45fb8,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10752,10929,10752,77788,2071,2159,7064,24.267,history,DMAtc_fault_profile.json,15159,10929,6.730533443132949,5.730533443132949,14685,True,1,True,1.0,-15.384699999999999,-15.384699999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112250_candidate_history_ordering_trial1_DMAtc_a2f45fb8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112250_candidate_history_ordering_trial1_DMAtc_a2f45fb8/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-112250_candidate_history_ordering_trial1_DMAtc_a2f45fb8/DMAtc.test.patterntrace.csv
