candidate,candidate_source,hypothesis,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,score,raw_score,passes_constraints,constraint_reason,run_dir
phase2_b20,default,Enable deeper phase-2 FAN search for hard aborted faults.,20260613-174312_candidate_phase2_b20_destc_d6227740,destc.bench,"[""-B"", ""20""]",0,True,False,,100.0,347,477,347,295215,0,0,1,19.883,94.5417,94.5417,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174312_candidate_phase2_b20_destc_d6227740
phase2_b20,default,Enable deeper phase-2 FAN search for hard aborted faults.,20260613-174324_candidate_phase2_b20_DMAtc_9600cd58,DMAtc.bench,"[""-B"", ""20""]",0,True,False,,94.562,10722,12557,10722,77788,2979,1251,65345,47.1,-17.368000000000002,-17.368000000000002,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174324_candidate_phase2_b20_DMAtc_9600cd58
static_learning,default,Use static learning to reduce repeated implication work.,20260613-174353_candidate_static_learning_pcitc_904b118e,pcitc.bench,"[""-L""]",0,True,False,,99.826,5944,7069,5944,75768,131,1,134,13.85,39.001,39.001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174353_candidate_static_learning_pcitc_904b118e
static_learning,default,Use static learning to reduce repeated implication work.,20260613-174401_candidate_static_learning_destc_33fc49ee,destc.bench,"[""-L""]",0,True,False,,100.0,345,477,345,295215,0,0,1,26.133,93.9367,93.9367,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174401_candidate_static_learning_destc_33fc49ee
static_learning,default,Use static learning to reduce repeated implication work.,20260613-174417_candidate_static_learning_DMAtc_2190180c,DMAtc.bench,"[""-L""]",0,True,False,,94.562,10721,12557,10721,77788,2070,2160,24461,39.2,-16.568000000000012,-16.568000000000012,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174417_candidate_static_learning_DMAtc_2190180c
phase2_b10_learning,default,Combine phase-2 search with static learning.,20260613-174440_candidate_phase2_b10_learning_pcitc_5cec51a0,pcitc.bench,"[""-B"", ""10"", ""-L""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,145,14.45,38.95099999999999,38.95099999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174440_candidate_phase2_b10_learning_pcitc_5cec51a0
phase2_b10_learning,default,Combine phase-2 search with static learning.,20260613-174449_candidate_phase2_b10_learning_destc_68a9a786,destc.bench,"[""-B"", ""10"", ""-L""]",0,True,False,,100.0,350,477,350,295215,0,0,1,23.8,94.12,94.12,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174449_candidate_phase2_b10_learning_destc_68a9a786
phase2_b10_learning,default,Combine phase-2 search with static learning.,20260613-174504_candidate_phase2_b10_learning_DMAtc_2deccde0,DMAtc.bench,"[""-B"", ""10"", ""-L""]",0,True,False,,94.562,10724,12557,10724,77788,2070,2160,48221,44.55,-17.13300000000001,-17.13300000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174504_candidate_phase2_b10_learning_DMAtc_2deccde0
hope_sim,default,Use HOPE three-valued fault simulation for different X behavior.,20260613-174530_candidate_hope_sim_pcitc_6c85e9e9,pcitc.bench,"[""-H""]",-6,False,False,before after end initialazition iLastUndetectedFault=75767 iLastUndetectedFault=75766 iLastUndetectedFault=75765 iLastUndetectedFault=75762 iLastUndetectedFault=75760 iLastUndetectedFault=75758 iLastUndetectedFault=75756 iLastUndetectedF...,,,,,,,,,,-1000.0,0.0,False,before after end initialazition iLastUndetectedFault=75767 iLastUndetectedFault=75766 iLastUndetectedFault=75765 iLastUndetectedFault=75762 iLastUndetectedFault=75760 iLastUndetectedFault=75758 iLastUndetectedFault=75756 iLastUndetectedF...,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174530_candidate_hope_sim_pcitc_6c85e9e9
hope_sim,default,Use HOPE three-valued fault simulation for different X behavior.,20260613-174536_candidate_hope_sim_destc_de440b9a,destc.bench,"[""-H""]",0,True,False,,100.0,358,516,358,295215,0,0,7,51.083,91.3117,91.3117,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174536_candidate_hope_sim_destc_de440b9a
hope_sim,default,Use HOPE three-valued fault simulation for different X behavior.,20260613-174606_candidate_hope_sim_DMAtc_cbfed6c1,DMAtc.bench,"[""-H""]",-6,False,False,before after end initialazition iLastUndetectedFault=77787 iLastUndetectedFault=77786 iLastUndetectedFault=77784 iLastUndetectedFault=77782 iLastUndetectedFault=77780 iLastUndetectedFault=77778 iLastUndetectedFault=77776 iLastUndetectedF...,,,,,,,,,,-1000.0,0.0,False,before after end initialazition iLastUndetectedFault=77787 iLastUndetectedFault=77786 iLastUndetectedFault=77784 iLastUndetectedFault=77782 iLastUndetectedFault=77780 iLastUndetectedFault=77778 iLastUndetectedFault=77776 iLastUndetectedF...,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-174606_candidate_hope_sim_DMAtc_cbfed6c1
