candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir
adaptive_c1,adaptive_compaction,Explicitly request one shuffle window under the adaptive compaction core.,3,20260615-175749_candidate_adaptive_c1_trial3_pcitc_53855ccf,pcitc.bench,"[""-c"", ""1""]",0,True,False,,99.826,5947,7069,5947,75768,131,1,134,12.683,True,1,False,1.0,39.0877,39.0877,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175749_candidate_adaptive_c1_trial3_pcitc_53855ccf
adaptive_c1,adaptive_compaction,Explicitly request one shuffle window under the adaptive compaction core.,1,20260615-175757_candidate_adaptive_c1_trial1_destc_0584ecaf,destc.bench,"[""-c"", ""1""]",0,True,False,,100.0,349,477,349,295215,0,0,1,18.783,True,1,False,1.0,94.63170000000001,94.63170000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175757_candidate_adaptive_c1_trial1_destc_0584ecaf
adaptive_c1,adaptive_compaction,Explicitly request one shuffle window under the adaptive compaction core.,2,20260615-175808_candidate_adaptive_c1_trial2_destc_e7ccea30,destc.bench,"[""-c"", ""1""]",0,True,False,,100.0,351,477,351,295215,0,0,1,18.3,True,1,False,1.0,94.66,94.66,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175808_candidate_adaptive_c1_trial2_destc_e7ccea30
adaptive_c1,adaptive_compaction,Explicitly request one shuffle window under the adaptive compaction core.,3,20260615-175819_candidate_adaptive_c1_trial3_destc_06507769,destc.bench,"[""-c"", ""1""]",0,True,False,,100.0,355,477,355,295215,0,0,1,16.417,True,1,False,1.0,94.8083,94.8083,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175819_candidate_adaptive_c1_trial3_destc_06507769
adaptive_c1,adaptive_compaction,Explicitly request one shuffle window under the adaptive compaction core.,1,20260615-175829_candidate_adaptive_c1_trial1_DMAtc_9975c610,DMAtc.bench,"[""-c"", ""1""]",0,True,False,,94.562,10722,12557,10722,77788,2071,2159,24460,36.833,True,1,False,1.0,-16.3413,-16.3413,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175829_candidate_adaptive_c1_trial1_DMAtc_9975c610
adaptive_c1,adaptive_compaction,Explicitly request one shuffle window under the adaptive compaction core.,2,20260615-175851_candidate_adaptive_c1_trial2_DMAtc_c963219a,DMAtc.bench,"[""-c"", ""1""]",0,True,False,,94.562,10724,12557,10724,77788,2071,2159,24460,36.933,True,1,False,1.0,-16.371300000000012,-16.371300000000012,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175851_candidate_adaptive_c1_trial2_DMAtc_c963219a
adaptive_c1,adaptive_compaction,Explicitly request one shuffle window under the adaptive compaction core.,3,20260615-175914_candidate_adaptive_c1_trial3_DMAtc_abce0bfa,DMAtc.bench,"[""-c"", ""1""]",0,True,False,,94.562,10725,12557,10725,77788,2071,2159,24460,34.067,True,1,False,1.0,-16.094700000000003,-16.094700000000003,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175914_candidate_adaptive_c1_trial3_DMAtc_abce0bfa
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,1,20260615-175934_candidate_adaptive_c2_trial1_pcitc_af0196ec,pcitc.bench,"[""-c"", ""2""]",0,True,False,,99.826,5970,7069,5970,75768,131,1,134,11.65,True,1,True,1.0,38.96099999999999,38.96099999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175934_candidate_adaptive_c2_trial1_pcitc_af0196ec
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,2,20260615-175941_candidate_adaptive_c2_trial2_pcitc_0cd0503b,pcitc.bench,"[""-c"", ""2""]",0,True,False,,99.826,5967,7069,5967,75768,131,1,134,11.65,True,1,True,1.0,38.99099999999999,38.99099999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175941_candidate_adaptive_c2_trial2_pcitc_0cd0503b
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,3,20260615-175948_candidate_adaptive_c2_trial3_pcitc_7d8e3eac,pcitc.bench,"[""-c"", ""2""]",0,True,False,,99.826,5970,7069,5970,75768,131,1,134,11.733,True,1,True,1.0,38.95269999999999,38.95269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175948_candidate_adaptive_c2_trial3_pcitc_7d8e3eac
