candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,fault_ordering_mode,fault_trace_attempts,generated_patterns_traced,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir,fault_trace_path,pattern_trace_path
ordering_default,fault_ordering,Current Atalanta fault order with adaptive compaction enabled.,1,20260615-214014_candidate_ordering_default_trial1_pcitc_da0447e6,pcitc.bench,[],0,True,False,,99.826,5971,7069,5971,75768,131,1,134,11.383,default,7205,7069,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,38.97769999999999,38.97769999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214014_candidate_ordering_default_trial1_pcitc_da0447e6,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214014_candidate_ordering_default_trial1_pcitc_da0447e6/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214014_candidate_ordering_default_trial1_pcitc_da0447e6/pcitc.test.patterntrace.csv
easy_first,fault_ordering,Prioritize high-observability and low-controllability-difficulty faults to produce reusable patterns early.,1,20260615-214021_candidate_easy_first_trial1_pcitc_9fa1df7d,pcitc.bench,"[""-O"", ""easy""]",0,True,False,,99.826,5926,8118,5926,75768,131,1,54,12.6,easy,8251,8118,9.317073170731707,8.317073170731707,17505,True,1,True,1.0,39.306,39.306,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214021_candidate_easy_first_trial1_pcitc_9fa1df7d,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214021_candidate_easy_first_trial1_pcitc_9fa1df7d/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214021_candidate_easy_first_trial1_pcitc_9fa1df7d/pcitc.test.patterntrace.csv
stem_first,fault_ordering,Prioritize fanout/stem-related faults to cover structurally influential regions early.,1,20260615-214029_candidate_stem_first_trial1_pcitc_b7305ed3,pcitc.bench,"[""-O"", ""stem""]",0,True,False,,99.826,5919,6955,5919,75768,131,1,101,11.567,stem,7089,6955,10.875053918044573,9.875053918044573,17583,True,1,True,1.0,39.479299999999995,39.479299999999995,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214029_candidate_stem_first_trial1_pcitc_b7305ed3,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214029_candidate_stem_first_trial1_pcitc_b7305ed3/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214029_candidate_stem_first_trial1_pcitc_b7305ed3/pcitc.test.patterntrace.csv
adaptive_c1_ordering_default,fault_ordering,Current best score-balanced compaction setting without explicit fault reordering.,1,20260615-214036_candidate_adaptive_c1_ordering_default_trial1_pcitc_37d53a63,pcitc.bench,"[""-c"", ""1""]",0,True,False,,99.826,5945,7069,5945,75768,131,1,134,12.983,default,7205,7069,10.699674635733484,9.699674635733484,17505,True,1,False,1.0,39.07769999999999,39.07769999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214036_candidate_adaptive_c1_ordering_default_trial1_pcitc_37d53a63,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214036_candidate_adaptive_c1_ordering_default_trial1_pcitc_37d53a63/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214036_candidate_adaptive_c1_ordering_default_trial1_pcitc_37d53a63/pcitc.test.patterntrace.csv
adaptive_c1_easy_first,fault_ordering,Combine the current best compaction setting with easy-first fault ordering.,1,20260615-214043_candidate_adaptive_c1_easy_first_trial1_pcitc_9cc7c53e,pcitc.bench,"[""-c"", ""1"", ""-O"", ""easy""]",0,True,False,,99.826,5896,8118,5896,75768,131,1,54,14.267,easy,8251,8118,9.317073170731707,8.317073170731707,17505,True,1,False,1.0,39.439299999999996,39.439299999999996,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214043_candidate_adaptive_c1_easy_first_trial1_pcitc_9cc7c53e,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214043_candidate_adaptive_c1_easy_first_trial1_pcitc_9cc7c53e/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214043_candidate_adaptive_c1_easy_first_trial1_pcitc_9cc7c53e/pcitc.test.patterntrace.csv
adaptive_c1_stem_first,fault_ordering,Combine the current best compaction setting with stem-first fault ordering.,1,20260615-214052_candidate_adaptive_c1_stem_first_trial1_pcitc_6045deba,pcitc.bench,"[""-c"", ""1"", ""-O"", ""stem""]",0,True,False,,99.826,5908,6955,5908,75768,131,1,101,14.067,stem,7089,6955,10.875053918044573,9.875053918044573,17583,True,1,False,1.0,39.339299999999994,39.339299999999994,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214052_candidate_adaptive_c1_stem_first_trial1_pcitc_6045deba,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214052_candidate_adaptive_c1_stem_first_trial1_pcitc_6045deba/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214052_candidate_adaptive_c1_stem_first_trial1_pcitc_6045deba/pcitc.test.patterntrace.csv
