candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,fault_ordering_mode,fault_history_profile,fault_trace_attempts,generated_patterns_traced,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir,fault_trace_path,pattern_trace_path,drop_trace_path
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-113834_candidate_history_ordering_trial1_pcitc_f00fad6b,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5944,6024,5944,75768,128,4,51,10.333,history,pcitc_fault_profile.json,6156,6024,12.555776892430279,11.555776892430279,17505,True,1,True,1.0,39.3527,39.3527,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113834_candidate_history_ordering_trial1_pcitc_f00fad6b,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113834_candidate_history_ordering_trial1_pcitc_f00fad6b/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113834_candidate_history_ordering_trial1_pcitc_f00fad6b/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113834_candidate_history_ordering_trial1_pcitc_f00fad6b/pcitc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-113840_candidate_history_ordering_trial1_destc_ed573373,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,372,399,372,295215,0,0,1,12.183,history,destc_fault_profile.json,399,399,739.8872180451128,738.8872180451128,74190,True,1,True,1.0,95.0617,95.0617,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113840_candidate_history_ordering_trial1_destc_ed573373,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113840_candidate_history_ordering_trial1_destc_ed573373/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113840_candidate_history_ordering_trial1_destc_ed573373/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113840_candidate_history_ordering_trial1_destc_ed573373/destc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-113848_candidate_history_ordering_trial1_DMAtc_f9595db8,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10759,10940,10759,77788,1988,2242,4596,24.4,history,DMAtc_fault_profile.json,15170,10940,6.723765996343693,5.723765996343693,14685,True,1,True,1.0,-15.468000000000005,-15.468000000000005,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113848_candidate_history_ordering_trial1_DMAtc_f9595db8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113848_candidate_history_ordering_trial1_DMAtc_f9595db8/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113848_candidate_history_ordering_trial1_DMAtc_f9595db8/DMAtc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-113848_candidate_history_ordering_trial1_DMAtc_f9595db8/DMAtc.test.droptrace.csv
