candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,fault_ordering_mode,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,run_id,run_dir
ordering_default,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,22.0,0.370183409052667,-1.8499999999999979,-13.619966134138247,-0.03499999999999659,False,5965.0,5943.0,11.733,13.582999999999998,39.0027,39.037699999999994,default,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,20260615-214112_candidate_ordering_default_trial1_pcitc_1695e7aa,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214112_candidate_ordering_default_trial1_pcitc_1695e7aa
ordering_default,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,35.0,0.5889281507656066,-1.6499999999999986,-12.147537362880062,-0.18500000000000227,False,5978.0,5943.0,11.933,13.582999999999998,38.85269999999999,39.037699999999994,default,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,20260615-214120_candidate_ordering_default_trial2_pcitc_ffcbef2f,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214120_candidate_ordering_default_trial2_pcitc_ffcbef2f
ordering_default,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,31.0,0.5216220763923943,-1.9159999999999986,-14.105867628653455,-0.11840000000000117,False,5974.0,5943.0,11.667,13.582999999999998,38.91929999999999,39.037699999999994,default,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,20260615-214127_candidate_ordering_default_trial3_pcitc_3c1e04cd,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214127_candidate_ordering_default_trial3_pcitc_3c1e04cd
ordering_default,destc.bench,1,True,False,False,100.0,100.0,0.0,40.666666666666686,11.70825335892515,-10.066333333333331,-43.92645711210344,0.5999666666666741,True,388.0,347.3333333333333,12.85,22.91633333333333,94.83500000000001,94.23503333333333,default,618.8993710691824,617.8993710691824,74190,True,1,True,1.0,20260615-214134_candidate_ordering_default_trial1_destc_bba7c634,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214134_candidate_ordering_default_trial1_destc_bba7c634
ordering_default,destc.bench,2,True,False,False,100.0,100.0,0.0,44.666666666666686,12.859884836852215,-10.29933333333333,-44.94319917380615,0.5832666666666597,True,392.0,347.3333333333333,12.617,22.91633333333333,94.8183,94.23503333333333,default,618.8993710691824,617.8993710691824,74190,True,1,True,1.0,20260615-214142_candidate_ordering_default_trial2_destc_74198581,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214142_candidate_ordering_default_trial2_destc_74198581
ordering_default,destc.bench,3,True,False,False,100.0,100.0,0.0,47.666666666666686,13.723608445297511,-10.23333333333333,-44.655194984654315,0.5466666666666669,True,395.0,347.3333333333333,12.683,22.91633333333333,94.7817,94.23503333333333,default,618.8993710691824,617.8993710691824,74190,True,1,True,1.0,20260615-214149_candidate_ordering_default_trial3_destc_fabe71a0,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214149_candidate_ordering_default_trial3_destc_fabe71a0
ordering_default,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,91.66666666666606,0.8548336959900472,-5.828333333333333,-15.579058039453287,-0.33383333333333454,False,10815.0,10723.333333333334,31.583,37.41133333333333,-16.74630000000001,-16.412466666666674,default,5.857927849008521,4.857927849008521,14685,True,1,True,1.0,20260615-214157_candidate_ordering_default_trial1_DMAtc_8ea3bcc1,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214157_candidate_ordering_default_trial1_DMAtc_8ea3bcc1
ordering_default,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,97.66666666666606,0.9107864470003051,-6.144333333333332,-16.423721866813974,-0.36223333333333585,False,10821.0,10723.333333333334,31.267,37.41133333333333,-16.77470000000001,-16.412466666666674,default,5.857927849008521,4.857927849008521,14685,True,1,True,1.0,20260615-214216_candidate_ordering_default_trial2_DMAtc_e0732e3e,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214216_candidate_ordering_default_trial2_DMAtc_e0732e3e
ordering_default,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,76.66666666666606,0.7149518184644021,-5.711333333333332,-15.266318584386191,-0.19553333333333,False,10800.0,10723.333333333334,31.7,37.41133333333333,-16.608000000000004,-16.412466666666674,default,5.857927849008521,4.857927849008521,14685,True,1,True,1.0,20260615-214235_candidate_ordering_default_trial3_DMAtc_fc28c9a7,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214235_candidate_ordering_default_trial3_DMAtc_fc28c9a7
easy_first,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,-20.0,-0.3365303718660609,-1.0159999999999982,-7.479938157991595,0.30159999999999343,True,5923.0,5943.0,12.567,13.582999999999998,39.33929999999999,39.037699999999994,easy,9.317073170731707,8.317073170731707,17505,True,1,True,1.0,20260615-214254_candidate_easy_first_trial1_pcitc_13dacbf8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-214254_candidate_easy_first_trial1_pcitc_13dacbf8
