candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
adaptive_c1_easy_first,DMAtc.bench,3,3,1.0,0.0,94.567,0.0,94.562,0.0049999999999954525,False,10800.666666666666,2.0816659994661326,10723.333333333334,77.33333333333212,0.7211687907988696,36.733666666666664,1.625064101299802,37.41133333333333,-0.6776666666666671,-1.811394051713386,-17.113033333333345,0.1483520587431563,-16.412466666666674,-0.7005666666666706,5.796847911741529,4.796847911741529,14685.0,1.0,1.0,0.0,1.0,False,True,False
adaptive_c1_easy_first,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,348.0,7.54983443527075,347.3333333333333,0.6666666666666856,0.19193857965451602,18.433333333333334,1.6992269811103324,22.91633333333333,-4.482999999999997,-19.56246636314709,94.67666666666668,0.09445487458747176,94.23503333333333,0.44163333333334265,603.7116564417178,602.7116564417178,74190.0,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_easy_first,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5894.666666666667,1.1547005383792515,5943.0,-48.33333333333303,-0.813281732009642,14.472,0.25896524863386605,13.582999999999998,0.8890000000000011,6.5449458882426645,39.432133333333326,0.01503207681370872,39.037699999999994,0.39443333333333186,9.317073170731707,8.317073170731707,17505.0,1.0,1.0,0.0,1.0,True,False,True
adaptive_c1_ordering_default,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10723.0,1.0,10723.333333333334,-0.33333333333393966,-0.00310848616724221,36.828,1.0152896138540959,37.41133333333333,-0.5833333333333286,-1.5592422973430384,-16.350800000000007,0.09287157799886496,-16.412466666666674,0.061666666666667425,5.857927849008521,4.857927849008521,14685.0,1.0,1.0,0.0,1.0,True,True,False
adaptive_c1_ordering_default,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,357.6666666666667,6.658328118479393,347.3333333333333,10.333333333333371,2.9750479846449247,17.671999999999997,2.1291225892371712,22.91633333333333,-5.2443333333333335,-22.884696504676434,94.65613333333333,0.14704408635961305,94.23503333333333,0.4210999999999956,618.8993710691824,617.8993710691824,74190.0,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_ordering_default,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.333333333333,0.5773502691896257,5943.0,1.3333333333330302,0.02243535812439896,13.094666666666669,0.17957264082630586,13.582999999999998,-0.48833333333332973,-3.5951802498220555,39.07319999999999,0.01667722998582042,39.037699999999994,0.03549999999999898,10.699674635733482,9.699674635733484,17505.0,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_stem_first,DMAtc.bench,3,3,1.0,0.0,94.569,0.0,94.562,0.007000000000005002,False,10713.0,1.0,10723.333333333334,-10.33333333333394,-0.09636307118433887,36.139,0.6427386716232337,37.41133333333333,-1.2723333333333287,-3.4009301994048022,-16.174899999999997,0.054901092885300956,-16.412466666666674,0.2375666666666767,5.989009199706911,4.989009199706912,15060.0,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_stem_first,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,359.3333333333333,9.073771725877465,347.3333333333333,12.0,3.45489443378119,18.333333333333332,1.9669703437859285,22.91633333333333,-4.582999999999998,-19.998836346710494,94.57333333333332,0.10710146279736306,94.23503333333333,0.3382999999999896,608.6907216494845,607.6907216494845,73418.0,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_stem_first,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5910.0,1.0,5943.0,-33.0,-0.5552751135790005,12.444333333333333,0.18597132395434843,13.582999999999998,-1.1386666666666656,-8.38302780436329,39.48156666666666,0.02821087260850196,39.037699999999994,0.44386666666666486,10.875053918044573,9.875053918044573,17583.0,1.0,1.0,0.0,1.0,True,True,True
easy_first,DMAtc.bench,3,3,1.0,0.0,94.567,0.0,94.562,0.0049999999999954525,False,10851.333333333334,0.5773502691896257,10723.333333333334,128.0,1.1936586882188374,32.36666666666667,0.3163421143846219,37.41133333333333,-5.044666666666664,-13.4843273874227,-17.18300000000001,0.02616084861009322,-16.412466666666674,-0.7705333333333364,5.796847911741529,4.796847911741529,14685.0,1.0,1.0,1.0,1.0,False,True,False
easy_first,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,381.0,2.0,347.3333333333333,33.666666666666686,9.692898272552789,11.644333333333334,0.18597132395434876,22.91633333333333,-11.271999999999997,-49.18762454726613,95.02556666666665,0.02962858979656255,94.23503333333333,0.7905333333333147,603.7116564417178,602.7116564417178,74190.0,1.0,1.0,1.0,1.0,True,True,True
easy_first,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5927.0,4.0,5943.0,-16.0,-0.26922429749284876,12.672333333333334,0.1080987203131159,13.582999999999998,-0.9106666666666641,-6.704459005128942,39.28876666666665,0.0508020996941388,39.037699999999994,0.25106666666665944,9.317073170731707,8.317073170731707,17505.0,1.0,1.0,1.0,1.0,True,True,True
ordering_default,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10812.0,10.816653826391969,10723.333333333334,88.66666666666606,0.8268573204849181,31.516666666666666,0.22399181532666151,37.41133333333333,-5.894666666666666,-15.75636616355115,-16.709666666666674,0.08918364947306137,-16.412466666666674,-0.29720000000000013,5.857927849008521,4.857927849008521,14685.0,1.0,1.0,1.0,1.0,False,True,False
