candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_enabled_rate_mean,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate_mean
stem_first,3,9,1.0,0.0,0,3,3,3,0.42045555555555464,-6.236777777777775,4.370563405498365,20.55555555555556,37.867214393534766,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,1.0
adaptive_c1_stem_first,3,9,1.0,0.0,0,3,3,3,0.3399111111111104,-2.331333333333331,1.9511455039995813,-10.444444444444647,22.50020576037604,208.51826158907866,207.51826158907866,35353.666666666664,1.0,1.0,0.0
adaptive_c1_ordering_default,3,9,1.0,0.0,0,3,3,2,0.172755555555554,-2.1053333333333306,2.7188686985582833,3.7777777777774872,5.738111703856017,211.81899118464148,210.81899118464148,35460.0,1.0,1.0,0.0
easy_first,3,9,1.0,0.0,0,2,3,2,0.0903555555555459,-5.742444444444442,5.2157911654399545,48.555555555555564,73.1454664299795,206.2751925080637,205.2751925080637,35460.0,1.0,1.0,1.0
ordering_default,3,9,1.0,0.0,0,1,3,1,0.05554444444444447,-5.966555555555554,4.197628382436567,54.11111111111082,30.851496151966455,211.81899118464148,210.81899118464148,35460.0,1.0,1.0,1.0
adaptive_c1_easy_first,3,9,1.0,0.0,0,2,2,2,0.045166666666667986,-1.4238888888888876,2.762649399345436,9.888888888888593,63.33888864524476,206.2751925080637,205.2751925080637,35460.0,1.0,1.0,0.0
