candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std
compaction_c1_learning,3,9,1.0,0.0,0,3,3,0.7653888888888952,-7.687222222222222,3.9437100599609307,0.3333333333331249,0.33333333333303017
phase1_b20_learning,3,9,1.0,0.0,0,3,3,0.4624222222222289,-4.479777777777779,3.9678359107723695,-1.4444444444446465,2.219442706159646
phase2_b5_learning,3,9,1.0,0.0,0,3,3,0.4229666666666733,-4.096333333333333,2.627137034872756,-1.333333333333428,3.4801021696367664
phase2_b20_learning_seed1,3,9,1.0,0.0,0,2,2,0.179633333333341,-1.562999999999997,6.998312518822742,-2.3333333333333335,3.2145502536643185
reverse_phase2_b10,3,9,1.0,0.0,0,1,1,-0.22035555555555675,-10.396444444444443,9.202016302802177,126.0,93.72299611087985
