candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std
default,3,3,1.0,0.0,0,3,3,0.8944333333333377,-8.944333333333335,4.2811209201952405,0.0,1.0
static_learning,3,3,1.0,0.0,0,3,3,0.5628000000000029,-5.261333333333334,1.9295844975883636,-3.6666666666666665,4.725815626252608
phase2_b10,3,3,1.0,0.0,0,3,3,0.45669999999999905,-4.300333333333335,3.266744914028846,-2.6666666666666665,5.507570547286102
phase2_b10_learning,3,3,1.0,0.0,0,3,3,0.4189000000000031,-4.055666666666668,4.681035818420248,-1.3333333333333333,2.516611478423583
phase2_b20,3,3,1.0,0.0,0,2,2,0.5100333333333396,-4.867000000000001,7.806871268312295,-2.3333333333333335,4.163331998932265
reverse_only_compaction,3,3,1.0,0.0,0,1,1,0.14390000000000333,-14.039000000000001,8.079994616334842,126.0,93.72299611087985
no_compaction,3,3,1.0,0.0,0,1,1,-8.837199999999994,-14.361333333333333,8.306822276498599,1027.3333333333333,859.671061123575
hope_sim,3,1,0.3333333333333333,0.0,0,0,0,-1.8382999999999896,17.982999999999997,0.0,4.0,0.0
