candidate,benchmarks,successful_runs,coverage_below_baseline_count,wins,avg_coverage_delta,avg_pattern_delta_pct,avg_runtime_delta_pct,avg_score_delta
default,3,3,0,3,0.0,0.08855406265128646,-28.52924663294696,0.8944333333333377
static_learning,3,3,0,3,0.0,-0.8536747927128499,-17.41889557082609,0.5628000000000029
phase2_b10,3,3,0,3,0.0,-0.8443490443215413,-15.621474592592113,0.45669999999999905
phase2_b10_learning,3,3,0,3,0.0,-0.37914714739530186,-14.616829381048483,0.4189000000000031
phase2_b20,3,3,0,2,0.0,-0.6566343968608187,-18.756302219967314,0.5100333333333396
reverse_only_compaction,3,3,0,1,0.0,7.379513521620017,-44.14373590238404,0.14390000000000333
no_compaction,3,3,0,1,0.0,23.591944660974587,-45.080274267199115,-8.837199999999994
hope_sim,3,1,0,0,0.0,1.1299435028248588,54.32930513595166,-1.8382999999999896
