candidate,benchmarks,successful_runs,success_rate_mean,timeout_rate_mean,coverage_below_baseline_count,wins,runtime_win_count,stable_win_count,average_score_delta_mean,runtime_delta_mean,runtime_delta_std,pattern_delta_mean,pattern_delta_std,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_phase2_enabled_rate_mean,adaptive_phase2_profile_faults_mean,adaptive_phase2_attempted_faults_mean,adaptive_phase2_skipped_faults_mean,adaptive_enabled_rate_mean,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate_mean
history_adaptive_phase2,3,9,1.0,0.0,0,3,3,3,0.5516444444444417,-8.071999999999997,4.325905698360876,25.555555555555355,9.570401903399233,21.0,-21.0,-2698.3333333333335,262.7307097598653,261.7307097598653,35460.0,1.0,191.0,190.33333333333334,558.3333333333334,1.0,1.0,1.0
history_adaptive_phase2_c1,3,9,1.0,0.0,0,3,3,3,0.3842444444444452,-5.509111111111108,2.7586916450724592,16.666666666666476,18.52325865259952,21.0,-21.0,-2698.3333333333335,262.7307097598653,261.7307097598653,35460.0,1.0,191.0,190.33333333333334,558.3333333333334,1.0,1.0,0.0
global_phase2_b10_reference,3,9,1.0,0.0,0,1,2,1,-0.29166666666666785,-2.605555555555553,6.431002948679617,55.222222222222136,34.641550730835434,0.0,0.0,7920.0,211.81899118464148,210.81899118464148,35460.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
global_phase2_b20_reference,3,9,1.0,0.0,0,1,2,1,-0.454466666666665,-0.9442222222222204,8.351697035355771,54.88888888888889,30.833483483117888,-302.6666666666667,302.6666666666667,13635.333333333334,211.81899118464148,210.81899118464148,35460.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
