candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,aborted_delta,redundant_delta,backtracking_delta,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_aborted_faults,baseline_aborted_faults,candidate_redundant_faults,baseline_redundant_faults,candidate_backtrackings,baseline_backtrackings,candidate_score,baseline_score,fault_ordering_mode,adaptive_phase2_enabled,adaptive_phase2_profile_faults,adaptive_phase2_attempted_faults,adaptive_phase2_skipped_faults,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,run_id,run_dir
history_adaptive_phase2_c1,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,25.0,0.4206629648325761,-2.815999999999999,-20.731797099315315,3.0,-3.0,-90.0,0.03159999999999741,True,5968.0,5943.0,10.767,13.582999999999998,4.0,1.0,128.0,131.0,44.0,134.0,39.06929999999999,39.037699999999994,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,False,1.0,20260616-160454_candidate_history_adaptive_phase2_c1_trial2_pcitc_30cdc152,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160454_candidate_history_adaptive_phase2_c1_trial2_pcitc_30cdc152
history_adaptive_phase2_c1,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,27.0,0.4543160020191822,-2.9159999999999986,-21.46801148494441,3.0,-3.0,-90.0,0.021599999999999397,True,5970.0,5943.0,10.667,13.582999999999998,4.0,1.0,128.0,131.0,44.0,134.0,39.05929999999999,39.037699999999994,history,True,1,0,4,12.599700149925038,11.599700149925038,17505,True,1,False,1.0,20260616-160500_candidate_history_adaptive_phase2_c1_trial3_pcitc_15e1d0c0,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160500_candidate_history_adaptive_phase2_c1_trial3_pcitc_15e1d0c0
history_adaptive_phase2_c1,destc.bench,1,True,False,False,100.0,100.0,0.0,-3.3333333333333144,-0.9596928982725473,-6.516333333333332,-28.435322695602842,0.0,0.0,0.0,0.6849666666666678,True,344.0,347.3333333333333,16.4,22.91633333333333,0.0,0.0,0.0,0.0,1.0,1.0,94.92,94.23503333333333,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,False,1.0,20260616-160507_candidate_history_adaptive_phase2_c1_trial1_destc_04f1c105,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160507_candidate_history_adaptive_phase2_c1_trial1_destc_04f1c105
history_adaptive_phase2_c1,destc.bench,2,True,False,False,100.0,100.0,0.0,-5.333333333333314,-1.535508637236079,-4.666333333333331,-20.36247799967999,0.0,0.0,0.0,0.5199666666666616,True,342.0,347.3333333333333,18.25,22.91633333333333,0.0,0.0,0.0,0.0,1.0,1.0,94.755,94.23503333333333,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,False,1.0,20260616-160516_candidate_history_adaptive_phase2_c1_trial2_destc_53221d61,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160516_candidate_history_adaptive_phase2_c1_trial2_destc_53221d61
history_adaptive_phase2_c1,destc.bench,3,True,False,False,100.0,100.0,0.0,-5.333333333333314,-1.535508637236079,-4.749333333333329,-20.7246650860376,0.0,0.0,0.0,0.5282666666666671,True,342.0,347.3333333333333,18.167,22.91633333333333,0.0,0.0,0.0,0.0,1.0,1.0,94.7633,94.23503333333333,history,True,0,0,0,768.7890625,767.7890625,74190,True,1,False,1.0,20260616-160528_candidate_history_adaptive_phase2_c1_trial3_destc_9950da6d,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160528_candidate_history_adaptive_phase2_c1_trial3_destc_9950da6d
history_adaptive_phase2_c1,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,27.66666666666606,0.2580043518806285,-7.528333333333332,-20.123135591710177,60.0,-60.0,-8005.0,0.47616666666666596,True,10751.0,10723.333333333334,29.883,37.41133333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.936300000000008,-16.412466666666674,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,False,1.0,20260616-160539_candidate_history_adaptive_phase2_c1_trial1_DMAtc_0878746e,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160539_candidate_history_adaptive_phase2_c1_trial1_DMAtc_0878746e
history_adaptive_phase2_c1,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,27.66666666666606,0.2580043518806285,-8.178333333333331,-21.860577008749573,60.0,-60.0,-8005.0,0.5411666666666655,True,10751.0,10723.333333333334,29.233,37.41133333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.871300000000009,-16.412466666666674,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,False,1.0,20260616-160557_candidate_history_adaptive_phase2_c1_trial2_DMAtc_bfb7bf50,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160557_candidate_history_adaptive_phase2_c1_trial2_DMAtc_bfb7bf50
history_adaptive_phase2_c1,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,30.66666666666606,0.2859807273857574,-9.37833333333333,-25.068161163283847,60.0,-60.0,-8005.0,0.6311666666666653,True,10754.0,10723.333333333334,28.033,37.41133333333333,2219.0,2159.0,2011.0,2071.0,16455.0,24460.0,-15.781300000000009,-16.412466666666674,history,True,572,571,1671,6.8033666296707365,5.8033666296707365,14685,True,1,False,1.0,20260616-160614_candidate_history_adaptive_phase2_c1_trial3_DMAtc_f5fbae80,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160614_candidate_history_adaptive_phase2_c1_trial3_DMAtc_f5fbae80
global_phase2_b10_reference,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,35.0,0.5889281507656066,-1.799999999999999,-13.251858941323707,0.0,0.0,11.0,-0.1700000000000017,False,5978.0,5943.0,11.783,13.582999999999998,1.0,1.0,131.0,131.0,145.0,134.0,38.86769999999999,39.037699999999994,default,True,0,0,0,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,20260616-160631_candidate_global_phase2_b10_reference_trial1_pcitc_1a8ccfad,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160631_candidate_global_phase2_b10_reference_trial1_pcitc_1a8ccfad
global_phase2_b10_reference,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,23.0,0.38700992764597003,-1.4159999999999986,-10.424795700507978,0.0,0.0,11.0,-0.08840000000000714,False,5966.0,5943.0,12.167,13.582999999999998,1.0,1.0,131.0,131.0,145.0,134.0,38.94929999999999,39.037699999999994,default,True,0,0,0,10.699674635733484,9.699674635733484,17505,True,1,True,1.0,20260616-160638_candidate_global_phase2_b10_reference_trial2_pcitc_07e818ca,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-160638_candidate_global_phase2_b10_reference_trial2_pcitc_07e818ca
